x,q
0.0,"(np.float64(0.0), np.float64(0.0), np.float64(-0.09652262576877843))"
0.01,"(np.float64(0.0), np.float64(0.0), np.float64(-0.09555739951109064))"
0.02,"(np.float64(0.0), np.float64(0.0), np.float64(-0.09459217325340286))"
0.03,"(np.float64(0.0), np.float64(0.0), np.float64(-0.09362694699571507))"
0.04,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0926617207380273))"
0.05,"(np.float64(0.0), np.float64(0.0), np.float64(-0.09169649448033951))"
0.06,"(np.float64(0.0), np.float64(0.0), np.float64(-0.09073126822265172))"
0.07,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08976604196496393))"
0.08,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08880081570727616))"
0.09,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08783558944958837))"
0.1,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08687036319190058))"
0.11,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08590513693421281))"
0.12,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08493991067652502))"
0.13,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08397468441883724))"
0.14,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08300945816114945))"
0.15,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08204423190346166))"
0.16,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08107900564577387))"
0.17,"(np.float64(0.0), np.float64(0.0), np.float64(-0.08011377938808609))"
0.18,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07914855313039831))"
0.19,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07818332687271054))"
0.2,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07721810061502275))"
0.21,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07625287435733497))"
0.22,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07528764809964718))"
0.23,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07432242184195939))"
0.24,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0733571955842716))"
0.25,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07239196932658382))"
0.26,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07142674306889604))"
0.27,"(np.float64(0.0), np.float64(0.0), np.float64(-0.07046151681120826))"
0.28,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06949629055352047))"
0.29,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06853106429583268))"
0.3,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0675658380381449))"
0.31,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0666006117804571))"
0.32,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06563538552276933))"
0.33,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06467015926508154))"
0.34,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06370493300739376))"
0.35,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06273970674970598))"
0.36,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0617744804920182))"
0.37,"(np.float64(0.0), np.float64(0.0), np.float64(-0.06080925423433041))"
0.38,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05984402797664263))"
0.39,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05887880171895484))"
0.4,"(np.float64(0.0), np.float64(0.0), np.float64(-0.057913575461267054))"
0.41,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05694834920357928))"
0.42,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05598312294589149))"
0.43,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05501789668820371))"
0.44,"(np.float64(0.0), np.float64(0.0), np.float64(-0.054052670430515926))"
0.45,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05308744417282814))"
0.46,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05212221791514036))"
0.47,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05115699165745257))"
0.48,"(np.float64(0.0), np.float64(0.0), np.float64(-0.05019176539976478))"
0.49,"(np.float64(0.0), np.float64(0.0), np.float64(-0.049226539142077))"
0.5,"(np.float64(0.0), np.float64(0.0), np.float64(-0.048261312884389215))"
0.51,"(np.float64(0.0), np.float64(0.0), np.float64(-0.04729608662670143))"
0.52,"(np.float64(0.0), np.float64(0.0), np.float64(-0.04633086036901365))"
0.53,"(np.float64(0.0), np.float64(0.0), np.float64(-0.04536563411132586))"
0.54,"(np.float64(0.0), np.float64(0.0), np.float64(-0.04440040785363807))"
0.55,"(np.float64(0.0), np.float64(0.0), np.float64(-0.04343518159595029))"
0.56,"(np.float64(0.0), np.float64(0.0), np.float64(-0.042469955338262505))"
0.57,"(np.float64(0.0), np.float64(0.0), np.float64(-0.04150472908057473))"
0.58,"(np.float64(0.0), np.float64(0.0), np.float64(-0.040539502822886944))"
0.59,"(np.float64(0.0), np.float64(0.0), np.float64(-0.03957427656519916))"
0.6,"(np.float64(0.0), np.float64(0.0), np.float64(-0.038609050307511376))"
0.61,"(np.float64(0.0), np.float64(0.0), np.float64(-0.03764382404982359))"
0.62,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0366785977921358))"
0.63,"(np.float64(0.0), np.float64(0.0), np.float64(-0.03571337153444802))"
0.64,"(np.float64(0.0), np.float64(0.0), np.float64(-0.034748145276760234))"
0.65,"(np.float64(0.0), np.float64(0.0), np.float64(-0.03378291901907245))"
0.66,"(np.float64(0.0), np.float64(0.0), np.float64(-0.032817692761384666))"
0.67,"(np.float64(0.0), np.float64(0.0), np.float64(-0.03185246650369688))"
0.68,"(np.float64(0.0), np.float64(0.0), np.float64(-0.03088724024600909))"
0.69,"(np.float64(0.0), np.float64(0.0), np.float64(-0.029922013988321318))"
0.7,"(np.float64(0.0), np.float64(0.0), np.float64(-0.028956787730633534))"
0.71,"(np.float64(0.0), np.float64(0.0), np.float64(-0.027991561472945747))"
0.72,"(np.float64(0.0), np.float64(0.0), np.float64(-0.027026335215257963))"
0.73,"(np.float64(0.0), np.float64(0.0), np.float64(-0.02606110895757018))"
0.74,"(np.float64(0.0), np.float64(0.0), np.float64(-0.02509588269988239))"
0.75,"(np.float64(0.0), np.float64(0.0), np.float64(-0.024130656442194608))"
0.76,"(np.float64(0.0), np.float64(0.0), np.float64(-0.023165430184506824))"
0.77,"(np.float64(0.0), np.float64(0.0), np.float64(-0.022200203926819036))"
0.78,"(np.float64(0.0), np.float64(0.0), np.float64(-0.021234977669131253))"
0.79,"(np.float64(0.0), np.float64(0.0), np.float64(-0.02026975141144347))"
0.8,"(np.float64(0.0), np.float64(0.0), np.float64(-0.01930452515375568))"
0.81,"(np.float64(0.0), np.float64(0.0), np.float64(-0.018339298896067897))"
0.82,"(np.float64(0.0), np.float64(0.0), np.float64(-0.017374072638380124))"
0.83,"(np.float64(0.0), np.float64(0.0), np.float64(-0.016408846380692337))"
0.84,"(np.float64(0.0), np.float64(0.0), np.float64(-0.015443620123004553))"
0.85,"(np.float64(0.0), np.float64(0.0), np.float64(-0.014478393865316767))"
0.86,"(np.float64(0.0), np.float64(0.0), np.float64(-0.013513167607628981))"
0.87,"(np.float64(0.0), np.float64(0.0), np.float64(-0.012547941349941196))"
0.88,"(np.float64(0.0), np.float64(0.0), np.float64(-0.011582715092253412))"
0.89,"(np.float64(0.0), np.float64(0.0), np.float64(-0.010617488834565626))"
0.9,"(np.float64(0.0), np.float64(0.0), np.float64(-0.00965226257687784))"
0.91,"(np.float64(0.0), np.float64(0.0), np.float64(-0.008687036319190055))"
0.92,"(np.float64(0.0), np.float64(0.0), np.float64(-0.00772181006150227))"
0.93,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0067565838038144855))"
0.94,"(np.float64(0.0), np.float64(0.0), np.float64(-0.005791357546126711))"
0.95,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0048261312884389255))"
0.96,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0038609050307511408))"
0.97,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0028956787730633556))"
0.98,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0019304525153755704))"
0.99,"(np.float64(0.0), np.float64(0.0), np.float64(-0.0009652262576877852))"
1.0,"(np.float64(0.0), np.float64(0.0), np.float64(0.0))"
1.01,"(np.float64(0.0), np.float64(0.0010535222277560994), np.float64(0.00011381975754837589))"
1.02,"(np.float64(0.0), np.float64(0.002107044455512199), np.float64(0.00022763951509675179))"
1.03,"(np.float64(0.0), np.float64(0.003160566683268298), np.float64(0.0003414592726451277))"
1.04,"(np.float64(0.0), np.float64(0.004214088911024398), np.float64(0.00045527903019350357))"
1.05,"(np.float64(0.0), np.float64(0.005267611138780497), np.float64(0.0005690987877418795))"
1.06,"(np.float64(0.0), np.float64(0.006321133366536596), np.float64(0.0006829185452902554))"
1.07,"(np.float64(0.0), np.float64(0.007374655594292696), np.float64(0.0007967383028386313))"
1.08,"(np.float64(0.0), np.float64(0.008428177822048796), np.float64(0.0009105580603870071))"
